"Label (Grouping)","Galloway township, Atlantic County, New Jersey!!Total!!Estimate","Galloway township, Atlantic County, New Jersey!!Total!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Male!!Estimate","Galloway township, Atlantic County, New Jersey!!Male!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent Male!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent Male!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Female!!Estimate","Galloway township, Atlantic County, New Jersey!!Female!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent Female!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent Female!!Margin of Error"
"        High school graduate or higher","17,194","±1,012","96.0%","±1.4","8,084","±721","94.9%","±2.3","9,110","±580","97.0%","±1.3"
"        Bachelor's degree or higher","6,052","±582","33.8%","±3.4","2,797","±381","32.8%","±4.7","3,255","±449","34.7%","±4.4"
"    Black alone","2,362","±588","(X)","(X)","1,117","±443","(X)","(X)","1,245","±274","(X)","(X)"
"        High school graduate or higher","2,069","±557","87.6%","±6.0","921","±428","82.5%","±11.4","1,148","±266","92.2%","±5.5"
"        Bachelor's degree or higher","527","±214","22.3%","±9.2","180","±132","16.1%","±12.0","347","±155","27.9%","±10.8"
"    American Indian or Alaska Native alone","51","±43","(X)","(X)","27","±29","(X)","(X)","24","±31","(X)","(X)"
"        High school graduate or higher","51","±43","100.0%","±46.1","27","±29","100.0%","±63.3","24","±31","100.0%","±67.2"
"        Bachelor's degree or higher","24","±31","47.1%","±43.3","0","±28","0.0%","±63.3","24","±31","100.0%","±67.2"
"    Asian alone","2,256","±564","(X)","(X)","1,125","±330","(X)","(X)","1,131","±281","(X)","(X)"
"        High school graduate or higher","1,655","±476","73.4%","±7.4","805","±308","71.6%","±13.1","850","±213","75.2%","±11.2"
"        Bachelor's degree or higher","840","±390","37.2%","±12.0","447","±266","39.7%","±16.2","393","±175","34.7%","±13.3"
"    Native Hawaiian and Other Pacific Islander alone","8","±13","(X)","(X)","8","±13","(X)","(X)","0","±28","(X)","(X)"
"        High school graduate or higher","8","±13","100.0%","±100.0","8","±13","100.0%","±100.0","0","±28","-","**"
"        Bachelor's degree or higher","0","±28","0.0%","±100.0","0","±28","0.0%","±100.0","0","±28","-","**"
"    Some other race alone","967","±370","(X)","(X)","511","±225","(X)","(X)","456","±197","(X)","(X)"
"        High school graduate or higher","691","±288","71.5%","±17.2","380","±178","74.4%","±20.0","311","±164","68.2%","±20.2"
"        Bachelor's degree or higher","130","±109","13.4%","±10.1","25","±41","4.9%","±8.0","105","±86","23.0%","±15.3"
"    Two or more races","1,258","±399","(X)","(X)","667","±285","(X)","(X)","591","±204","(X)","(X)"
"        High school graduate or higher","1,128","±385","89.7%","±8.6","592","±270","88.8%","±13.9","536","±185","90.7%","±8.8"
"        Bachelor's degree or higher","404","±212","32.1%","±12.5","229","±149","34.3%","±16.6","175","±117","29.6%","±14.7"
"    Hispanic or Latino Origin","2,747","±534","(X)","(X)","1,345","±319","(X)","(X)","1,402","±315","(X)","(X)"
"        High school graduate or higher","2,179","±476","79.3%","±8.0","1,020","±269","75.8%","±9.9","1,159","±311","82.7%","±9.2"
"        Bachelor's degree or higher","428","±237","15.6%","±8.4","83","±70","6.2%","±5.1","345","±221","24.6%","±13.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","20.5%","±9.9","(X)","(X)","17.1%","±11.1","(X)","(X)","25.4%","±12.9"
"    High school graduate (includes equivalency)","(X)","(X)","3.8%","±1.8","(X)","(X)","4.1%","±2.8","(X)","(X)","3.5%","±2.0"
"    Some college or associate's degree","(X)","(X)","8.2%","±3.3","(X)","(X)","8.1%","±5.5","(X)","(X)","8.3%","±3.8"
"    Bachelor's degree or higher","(X)","(X)","2.3%","±1.3","(X)","(X)","1.9%","±1.8","(X)","(X)","2.7%","±1.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,613","±4,122","(X)","(X)","46,933","±5,396","(X)","(X)","37,395","±4,903","(X)","(X)"
"        Less than high school graduate","25,122","±11,655","(X)","(X)","26,181","±12,123","(X)","(X)","2,500-","***","(X)","(X)"
"        High school graduate (includes equivalency)","27,437","±9,074","(X)","(X)","35,660","±8,563","(X)","(X)","24,489","±4,297","(X)","(X)"
"        Some college or associate's degree","40,647","±5,479","(X)","(X)","41,729","±7,578","(X)","(X)","39,038","±6,193","(X)","(X)"
"        Bachelor's degree","57,424","±5,763","(X)","(X)","62,720","±4,138","(X)","(X)","45,714","±15,433","(X)","(X)"
"        Graduate or professional degree","60,915","±11,967","(X)","(X)","64,831","±21,750","(X)","(X)","59,628","±10,680","(X)","(X)"
